epoch,n_samples,samples_file,LogLikelihood,WassersteinDistance,IsPositive
0,500,gaussian_generated_epoch_0000.csv,-16.62313461303711,0.0073398202657699585,-1.0
1,500,gaussian_generated_epoch_0001.csv,-4.578717231750488,0.0024973766412585974,-1.0
2,500,gaussian_generated_epoch_0002.csv,-3.9279654026031494,0.0016505751991644502,-1.0
3,500,gaussian_generated_epoch_0003.csv,-9.630465507507324,0.004929493647068739,-1.0
4,500,gaussian_generated_epoch_0004.csv,-7.886882305145264,0.007421567570418119,1.0
5,500,gaussian_generated_epoch_0005.csv,-5.704441547393799,0.01237446442246437,1.0
6,500,gaussian_generated_epoch_0006.csv,-5.646795749664307,0.008496137335896492,1.0
7,500,gaussian_generated_epoch_0007.csv,-11.73363208770752,0.005540700163692236,-0.48399999737739563
8,500,gaussian_generated_epoch_0008.csv,-6.185871601104736,0.002551460172981024,-1.0
9,500,gaussian_generated_epoch_0009.csv,-8.355644226074219,0.003908354789018631,-0.9039999842643738
10,500,gaussian_generated_epoch_0010.csv,-9.939048767089844,0.007140098139643669,0.13600000739097595
11,500,gaussian_generated_epoch_0011.csv,-7.136560916900635,0.006831263657659292,0.25200000405311584
12,500,gaussian_generated_epoch_0012.csv,-6.540934085845947,0.005864349193871021,-0.00800000037997961
13,500,gaussian_generated_epoch_0013.csv,-9.88915729522705,0.006918780039995909,0.019999999552965164
14,500,gaussian_generated_epoch_0014.csv,-7.723389625549316,0.006111548747867346,-0.03200000151991844
15,500,gaussian_generated_epoch_0015.csv,-6.7380805015563965,0.006265040021389723,0.1080000028014183
16,500,gaussian_generated_epoch_0016.csv,-6.695277214050293,0.006963365711271763,0.24799999594688416
17,500,gaussian_generated_epoch_0017.csv,-7.397740364074707,0.0048766788095235825,-0.1599999964237213
18,500,gaussian_generated_epoch_0018.csv,-7.704336166381836,0.006567518692463636,0.12399999797344208
19,500,gaussian_generated_epoch_0019.csv,-8.075769424438477,0.006513443309813738,0.07199999690055847
20,500,gaussian_generated_epoch_0020.csv,-7.138391494750977,0.005810546223074198,-0.004000000189989805
21,500,gaussian_generated_epoch_0021.csv,-9.31914234161377,0.0074571832083165646,0.0560000017285347
22,500,gaussian_generated_epoch_0022.csv,-7.884884357452393,0.006924030836671591,0.035999998450279236
23,500,gaussian_generated_epoch_0023.csv,-10.348942756652832,0.006719933357089758,-0.08799999952316284
24,500,gaussian_generated_epoch_0024.csv,-7.6366400718688965,0.007169920019805431,0.09200000017881393
25,500,gaussian_generated_epoch_0025.csv,-6.96228551864624,0.005745924077928066,0.024000000208616257
26,500,gaussian_generated_epoch_0026.csv,-8.688694953918457,0.006355735938996077,-0.04800000041723251
27,500,gaussian_generated_epoch_0027.csv,-8.869976043701172,0.007271355949342251,0.02800000086426735
28,500,gaussian_generated_epoch_0028.csv,-10.488997459411621,0.008320271037518978,0.15600000321865082
29,500,gaussian_generated_epoch_0029.csv,-8.088976860046387,0.005895741283893585,-0.04399999976158142
30,500,gaussian_generated_epoch_0030.csv,-7.702979564666748,0.007016700692474842,0.1120000034570694
31,500,gaussian_generated_epoch_0031.csv,-12.293486595153809,0.008642719127237797,0.07599999755620956
32,500,gaussian_generated_epoch_0032.csv,-8.856949806213379,0.005704768933355808,-0.10400000214576721
33,500,gaussian_generated_epoch_0033.csv,-8.641877174377441,0.007181055843830109,0.09200000017881393
34,500,gaussian_generated_epoch_0034.csv,-10.359716415405273,0.008020791225135326,0.07999999821186066
35,500,gaussian_generated_epoch_0035.csv,-9.04316520690918,0.006440764758735895,0.01600000075995922
36,500,gaussian_generated_epoch_0036.csv,-8.796710014343262,0.007113372907042503,0.01600000075995922
37,500,gaussian_generated_epoch_0037.csv,-7.642496109008789,0.00656772730872035,0.09200000017881393
38,500,gaussian_generated_epoch_0038.csv,-12.021714210510254,0.008015444502234459,0.03999999910593033
39,500,gaussian_generated_epoch_0039.csv,-7.629955768585205,0.006592935416847467,0.04399999976158142
40,500,gaussian_generated_epoch_0040.csv,-8.204338073730469,0.0072072637267410755,0.07599999755620956
41,500,gaussian_generated_epoch_0041.csv,-11.897104263305664,0.008123555220663548,0.01600000075995922
42,500,gaussian_generated_epoch_0042.csv,-7.670012950897217,0.00578264519572258,-0.06800000369548798
43,500,gaussian_generated_epoch_0043.csv,-7.998096466064453,0.006733609363436699,0.004000000189989805
44,500,gaussian_generated_epoch_0044.csv,-8.257463455200195,0.00661397073417902,0.00800000037997961
45,500,gaussian_generated_epoch_0045.csv,-11.327011108398438,0.008193395100533962,0.07999999821186066
46,500,gaussian_generated_epoch_0046.csv,-7.380858421325684,0.0059294309467077255,0.0
47,500,gaussian_generated_epoch_0047.csv,-7.7485833168029785,0.005623856093734503,-0.10400000214576721
48,500,gaussian_generated_epoch_0048.csv,-9.62747859954834,0.006914302706718445,-0.03200000151991844
49,500,gaussian_generated_epoch_0049.csv,-9.551072120666504,0.007818256504833698,0.10400000214576721
50,500,gaussian_generated_epoch_0050.csv,-7.29949951171875,0.0053043547086417675,-0.19599999487400055
51,500,gaussian_generated_epoch_0051.csv,-8.32632827758789,0.005271252244710922,-0.18000000715255737
52,500,gaussian_generated_epoch_0052.csv,-7.829338550567627,0.0071293204091489315,0.07599999755620956
53,500,gaussian_generated_epoch_0053.csv,-7.310817241668701,0.0066344100050628185,0.019999999552965164
54,500,gaussian_generated_epoch_0054.csv,-8.371228218078613,0.005250228568911552,-0.19200000166893005
55,500,gaussian_generated_epoch_0055.csv,-7.917155742645264,0.0070342980325222015,0.1120000034570694
