generator_type,ValidationStep_FakeData_KLDivergence_final,ValidationStep_FakeData_KLDivergence_best,ValidationStep_FakeData_KLDivergence_mean,ValidationStep_FakeData_KLDivergence_std,ValidationStep_FakeData_KLDivergence_epochs_count,ValidationStep_FakeData_LogLikelihood_final,ValidationStep_FakeData_LogLikelihood_best,ValidationStep_FakeData_LogLikelihood_mean,ValidationStep_FakeData_LogLikelihood_std,ValidationStep_FakeData_LogLikelihood_epochs_count,ValidationStep_FakeData_IsPositive_final,ValidationStep_FakeData_IsPositive_best,ValidationStep_FakeData_IsPositive_mean,ValidationStep_FakeData_IsPositive_std,ValidationStep_FakeData_IsPositive_epochs_count,ValidationStep_FakeData_WassersteinDistance_final,ValidationStep_FakeData_WassersteinDistance_best,ValidationStep_FakeData_WassersteinDistance_mean,ValidationStep_FakeData_WassersteinDistance_std,ValidationStep_FakeData_WassersteinDistance_epochs_count,ValidationStep_FakeData_MMDDistance_final,ValidationStep_FakeData_MMDDistance_best,ValidationStep_FakeData_MMDDistance_mean,ValidationStep_FakeData_MMDDistance_std,ValidationStep_FakeData_MMDDistance_epochs_count,train_g_loss_epoch_final,train_g_loss_epoch_best,train_g_loss_epoch_mean,train_g_loss_epoch_std,train_g_loss_epoch_epochs_count
quantum_samples,7.424356460571289,5.322650119662285,7.5665118413666885,0.7939353816511362,20,-3.6931824684143066,-3.6931824684143066,-4.34166767001152,1.434282875040619,20,0.007999999448657036,0.05666666803881526,0.002033333689905703,0.03507925903454281,20,0.40164312720298767,0.3456912636756897,0.5907270908355713,0.33755156040030715,4.0,0.12746956944465637,0.12597912549972534,0.17072970420122147,0.053437268896704464,4.0,6.253360748291016,11.572415351867676,6.444171909242868,4.098371938179319,4.0
classical_normal,7.293409029642741,6.983920955657959,8.240325324951378,1.1130029874610332,300,-4.504786682128906,-4.2274568716684975,-7.832077862892835,19.099172239551233,300,0.01715555458019177,0.34827322359425855,0.040384936120894464,0.07030565888702597,300,0.2841968983411789,0.2691235989332199,0.40964535176753997,0.16373402837631634,30.0,0.10719001293182373,0.09453117102384567,0.13351543719569842,0.03504958832523739,30.0,-3.5627361685037613,12.152946472167969,-0.1235383962125828,3.6994326427176145,30.0
quantum_shadows,7.560140609741211,7.560140609741211,9.940610408782959,1.6918619381640758,10,-3.832474708557129,-3.832474708557129,-5.827477169036865,1.5004400799019673,10,0.04800000041723251,0.09000000357627869,0.038000000081956385,0.034687173807526415,10,,,,,,,,,,,,,,,
classical_uniform,9.592327668116642,6.943498116273147,11.953422205224943,4.186263307061734,300,-6.611057850030752,-4.10404843550462,-9.205844330550974,4.630293083855645,300,0.08625640985197745,0.40766666679539615,0.020965876516078903,0.10589328605990381,300,,,,,,,,,,,,,,,
