生成器类型,运行次数,平均训练时间(秒),KL散度(平均),KL散度(最佳),对数似然(平均),Wasserstein距离,MMD距离,收敛epochs,改进率,最终稳定性
quantum_samples,7,5556.548,5.035523737470309,-0.1684241145849228,-3.9205543200174966,0.40164312720298767,0.12746956944465637,62,-0.9377780593931675,
classical_normal,94,267.4245256410256,5.961046595339265,-5.09621000289917,-4.540028323446001,0.34893431266148883,0.12966173887252808,15249,-0.005308003425598145,0.1250336793664765
quantum_shadows,5,4472.196,7.560140609741211,7.560140609741211,-3.832474708557129,,,629,0.5794947624206543,0.947822604165065
classical_uniform,18,194.75355555555558,9.23613707224528,4.902689456939697,-5.999834497769673,,,18899,0.075999010403951,0.34183280352040857
